State wise distribution of returns,,,,,,,,,,,,,,,,,,,,
Status,No. of Returns,,,,,,,,,,,,,,,,,,,
Individual,75461286,,,,,,,,,,,,,,,,,,,
HUF,1278502,,,,,,,,,,,,,,,,,,,
Firm,1571284,,,,,,,,,,,,,,,,,,,
AOP/BOI,119020,,,,,,,,,,,,,,,,,,,
Companies,1070924,,,,,,,,,,,,,,,,,,,
Others,211129,,,,,,,,,,,,,,,,,,,
Total,79712145,,,,,,,,,,,,,,,,,,,
Status wise distribution of key values,,,,,,,,,,,,,,,,,,,,
Category,Individual,HUF,Firm,AOP/BOI,Companies,Others,Total,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Salary Income (in Crore INR),Average Salary Income (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,41,747,341,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,2,312,578,20,982.66,0.91,,,,,,,,,,,,
>150,000 and <= 2,00,000,1,438,185,25,827.58,1.8,,,,,,,,,,,
>2,00,000 and <=2,50,000,1,612,830,37,176.67,2.31,,,,,,,,,,
>2,50,000 and <=3,50,000,3,036,380,92,43.47,3.03,,,,,,,,,,
>3,50,000 and <=4,00,000,1,663,733,62,501.63,3.76,,,,,,,,,,
>4,00,000 and <=4,50,000,1,876,799,80,61.05,4.27,,,,,,,,,,
>4,50,000 and <=5,00,000,1,784,919,85,67.98,4.77,,,,,,,,,,
>5,00,000 and <=5,50,000,1,712,549,90,227.17,5.27,,,,,,,,,,
>5,50,000 and <=9,50,000,11,979,721,867,311.76,7.24,,,,,,,,,,
>9,50,000 and <=10,00,000,827,163,80,619.21,9.75,,,,,,,,,,,
>10,00,000 and <=15,00,000,5,049,668,608,260.79,12.05,,,,,,,,,,
>15,00,000 and <=20,00,000,1,912,314,328,180.29,17.16,,,,,,,,,,
>20,00,000 and <=25,00,000,924,555,205,771.92,22.26,,,,,,,,,,,
>25,00,000 and <=50,00,000,1,381,282,463,930.78,33.59,,,,,,,,,,
>50,00,000 and <=1,00,00,000,334,110,223,993.48,67.04,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,112,685,191,708.07,170.13,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,3,756,25,418.26,676.74,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,1,260,18,330.07,1,454.77,,,,,,,,
>25,00,00,000 and <=50,00,00,000,230,7,868.45,3,421.07,,,,,,,,,
>50,00,00,000 and <=100,00,00,000,68,4,562.6,6,709.71,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,19,3,372.61,17,750.58,,,,,,,,,
>500,00,00,000,-,-,-,,,,,,,,,,,,,,
Total,79,712,145,3,523,216.5,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of House Property Income (in Crore INR),Average House Property Income (in Lakh INR),,,,,,,,,,,,,,,,,
< 0,5,969,971,-77,811.88,-1.3,,,,,,,,,,,,,,
0,68,618,127,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,2,379,176,18,841.61,0.79,,,,,,,,,,,,
>150,000 and <=2,00,000,610,935,10,515.02,1.72,,,,,,,,,,,,
>2,00,000 and <=2,50,000,427,397,9,493.11,2.22,,,,,,,,,,,
>2,50,000 and <=3,50,000,601,196,17,686.12,2.94,,,,,,,,,,,
>3,50,000 and <=4,00,000,172,736,6,467.15,3.74,,,,,,,,,,,
>4,00,000 and <=4,50,000,160,032,6,766.85,4.23,,,,,,,,,,,
>4,50,000 and <=5,00,000,124,725,5,924.1,4.75,,,,,,,,,,,
>5,00,000 and <=5,50,000,90,377,4,723.49,5.23,,,,,,,,,,,
>5,50,000 and <=9,50,000,306,960,21,653.98,7.05,,,,,,,,,,,
>9,50,000 and <=10,00,000,17,587,1,713.95,9.75,,,,,,,,,,,
>10,00,000 and <=15,00,000,108,370,13,50.02,12.04,,,,,,,,,,,
>15,00,000 and <=20,00,000,37,717,6,490.62,17.21,,,,,,,,,,,
>20,00,000 and <=25,00,000,21,590,4,809.19,22.28,,,,,,,,,,,
>25,00,000 and <=50,00,000,39,677,13,614.46,34.31,,,,,,,,,,,
>50,00,000 and <=1,00,00,000,16,113,11,58.5,68.63,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,8,681,15,869.29,182.8,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,480,3,291.5,685.73,,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,208,3,56.19,1,469.32,,,,,,,,,
>25,00,00,000 and <=50,00,00,000,52,1,797.7,3,457.12,,,,,,,,,
>50,00,00,000 and <=100,00,00,000,23,1,602.53,6,967.52,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,13,1,895.27,14,579,,,,,,,,,
>500,00,00,000,2,1,625.43,81,271.5,,,,,,,,,,,,
Total,79,712,145,104,134.2,,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Business Income (in Crore INR),Average Business Income (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,44,881,161,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,3,825,493,25,779.12,0.67,,,,,,,,,,,,
>150,000 and <=2,00,000,1,239,860,21,813.4,1.76,,,,,,,,,,,
>2,00,000 and <=2,50,000,2,204,289,51,0.95,2.31,,,,,,,,,,
>2,50,000 and <=3,50,000,3,845,643,116,691.03,3.03,,,,,,,,,,
>3,50,000 and <=4,00,000,2,632,775,98,950.67,3.76,,,,,,,,,,
>4,00,000 and <=4,50,000,3,824,727,162,700.53,4.25,,,,,,,,,,
>4,50,000 and <=5,00,000,8,002,803,384,546.31,4.81,,,,,,,,,,
>5,00,000 and <=5,50,000,2,271,055,118,844.28,5.23,,,,,,,,,,
>5,50,000 and <=9,50,000,4,850,220,325,607.15,6.71,,,,,,,,,,
>9,50,000 and <=10,00,000,175,337,17,105.73,9.76,,,,,,,,,,,
>10,00,000 and <=15,00,000,840,716,101,283.25,12.05,,,,,,,,,,,
>15,00,000 and <=20,00,000,334,124,57,443.54,17.19,,,,,,,,,,,
>20,00,000 and <=25,00,000,183,396,41,2.73,22.36,,,,,,,,,,,
>25,00,000 and <=50,00,000,313,097,108,928.28,34.79,,,,,,,,,,,
>50,00,000 and <=1,00,00,000,142,727,100,438.27,70.37,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,108,055,223,724.62,207.05,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,15,543,108,939,700.89,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,11,197,173,954.95,1,553.59,,,,,,,,
>25,00,00,000 and <=50,00,00,000,4,507,156,808.27,3,479.22,,,,,,,,
>50,00,00,000 and <=100,00,00,000,2,503,173,891.63,6,947.33,,,,,,,,
>100,00,00,000 and <=500,00,00,000,2,280,470,288.68,20,626.7,,,,,,,,
>500,00,00,000,637,1,616,727.4,253,803.36,,,,,,,,,,,
Total,79,712,145,4,656,469.79,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Long Term Capital Gains Income (in Crore INR),Average Long Term Capital Gains Income (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,75,745,326,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,2,907,458,10,563.95,0.36,,,,,,,,,,,,
>150,000 and <=2,00,000,168,477,2,921.39,1.73,,,,,,,,,,,,
>2,00,000 and <=2,50,000,119,599,2,676.84,2.24,,,,,,,,,,,
>2,50,000 and <=3,50,000,161,253,4,775.2,2.96,,,,,,,,,,,
>3,50,000 and <=4,00,000,55,896,2,90.25,3.74,,,,,,,,,,,
>4,00,000 and <=4,50,000,44,551,1,889.68,4.24,,,,,,,,,,,
>4,50,000 and <=5,00,000,37,418,1,775.94,4.75,,,,,,,,,,,
>5,00,000 and <=5,50,000,30,553,1,602.39,5.24,,,,,,,,,,,
>5,50,000 and <=9,50,000,145,065,10,460.57,7.21,,,,,,,,,,,
>9,50,000 and <=10,00,000,11,428,1,113.82,9.75,,,,,,,,,,,
>10,00,000 and <=15,00,000,78,038,9,548.21,12.24,,,,,,,,,,,
>15,00,000 and <=20,00,000,43,848,7,588.59,17.31,,,,,,,,,,,
>20,00,000 and <=25,00,000,28,367,6,337.17,22.34,,,,,,,,,,,
>25,00,000 and <=50,00,000,63,277,22,134.5,34.98,,,,,,,,,,,
>50,00,000 and <=1,00,00,000,33,345,23,302.02,69.88,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,28,723,58,871.98,204.96,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,3,996,27,923.03,698.77,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,2,763,43,6.67,1,556.52,,,,,,,,
>25,00,00,000 and <=50,00,00,000,1,128,39,596.21,3,510.3,,,,,,,,
>50,00,00,000 and <=100,00,00,000,715,50,943.24,7,124.93,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,730,155,106.54,21,247.47,,,,,,,,,
>500,00,00,000,191,373,794.64,195,704,,,,,,,,,,,,
Total,79,712,145,858,22.83,,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Short Term Capital Gains Income (in Crore INR),Average Short Term Capital Gains Income (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,74,984,490,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,4,291,003,8,889.81,0.21,,,,,,,,,,,,
>150,000 and <=2,00,000,98,340,1,703.02,1.73,,,,,,,,,,,,
>2,00,000 and <=2,50,000,63,936,1,430,2.24,,,,,,,,,,,
>2,50,000 and <=3,50,000,77,121,2,274.14,2.95,,,,,,,,,,,
>3,50,000 and <=4,00,000,24,865,930.06,3.74,,,,,,,,,,,,
>4,00,000 and <=4,50,000,19,152,812.57,4.24,,,,,,,,,,,,
>4,50,000 and <=5,00,000,16,079,763.73,4.75,,,,,,,,,,,,
>5,00,000 and <=5,50,000,12,420,651.17,5.24,,,,,,,,,,,,
>5,50,000 and <=9,50,000,52,200,3,723.86,7.13,,,,,,,,,,,
>9,50,000 and <=10,00,000,3,678,358.62,9.75,,,,,,,,,,,,
>10,00,000 and <=15,00,000,22,327,2,713.13,12.15,,,,,,,,,,,
>15,00,000 and <=20,00,000,11,174,1,926.53,17.24,,,,,,,,,,,
>20,00,000 and <=25,00,000,6,506,1,452.19,22.32,,,,,,,,,,,
>25,00,000 and <=50,00,000,13,260,4,618.24,34.83,,,,,,,,,,,
>50,00,000 and <=1,00,00,000,7,010,4,917.98,70.16,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,6,611,13,879.3,209.94,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,957,6,663.25,696.26,,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,602,9,310.78,1,546.64,,,,,,,,,
>25,00,00,000 and <=50,00,00,000,204,7,86.78,3,473.91,,,,,,,,,
>50,00,00,000 and <=100,00,00,000,103,7,104.24,6,897.32,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,92,18,379.2,19,977.39,,,,,,,,,
>500,00,00,000,15,17,538.93,116,926.2,,,,,,,,,,,,
Total,79,712,145,117,127.53,,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Other Sources Income (in Crore INR),Average Other Sources Income (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,10,921,472,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,55,670,595,129,158.45,0.23,,,,,,,,,,,,
>150,000 and <=2,00,000,2,561,936,44,522.4,1.74,,,,,,,,,,,
>2,00,000 and <=2,50,000,2,182,478,49,306.13,2.26,,,,,,,,,,
>2,50,000 and <=3,50,000,2,905,342,85,885.58,2.96,,,,,,,,,,
>3,50,000 and <=4,00,000,1,065,582,39,843.3,3.74,,,,,,,,,,
>4,00,000 and <=4,50,000,913,472,38,734.88,4.24,,,,,,,,,,,
>4,50,000 and <=5,00,000,1,036,365,49,464.28,4.77,,,,,,,,,,
>5,00,000 and <=5,50,000,482,439,25,186,5.22,,,,,,,,,,,
>5,50,000 and <=9,50,000,1,243,409,86,60.92,6.92,,,,,,,,,,
>9,50,000 and <=10,00,000,61,152,5,960.4,9.75,,,,,,,,,,,
>10,00,000 and <=15,00,000,325,175,39,111.19,12.03,,,,,,,,,,,
>15,00,000 and <=20,00,000,122,651,21,63.38,17.17,,,,,,,,,,,
>20,00,000 and <=25,00,00,000,59,122,13,147.96,22.24,,,,,,,,,,
>25,00,00,000 and <=50,00,00,000,91,200,30,962.58,33.95,,,,,,,,,
>50,00,00,000 and <=1,00,00,00,000,33,580,23,58.4,68.67,,,,,,,,
>1,00,00,000 and <=5,00,00,000,25,584,51,967.53,203.13,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,4,156,29,295.67,704.9,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,3,134,48,978.15,1,562.8,,,,,,,,
>25,00,00,000 and <=50,00,00,000,1,357,47,832.57,3,524.88,,,,,,,,
>50,00,00,000 and <=100,00,00,000,879,61,606.52,7,8.71,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,876,175,417.53,20,24.83,,,,,,,,,
>500,00,00,000,189,366,437.55,193,882.3,,,,,,,,,,,,
Total,79,712,145,1,463,1.37,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Interest Income (in Crore INR),Average Interest Income (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,59,064,334,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,17,017,857,41,121.74,0.24,,,,,,,,,,,,
>150,000 and <=2,00,000,716,685,12,440.29,1.74,,,,,,,,,,,,
>2,00,000 and <=2,50,000,549,359,12,341.37,2.25,,,,,,,,,,,
>2,50,000 and <=3,50,000,714,331,21,108.02,2.95,,,,,,,,,,,
>3,50,000 and <=4,00,000,246,243,9,211.44,3.74,,,,,,,,,,,
>4,00,000 and <=4,50,000,197,255,8,364.77,4.24,,,,,,,,,,,
>4,50,000 and <=5,00,000,164,886,7,822.95,4.74,,,,,,,,,,,
>5,00,000 and <=5,50,000,128,295,6,722.88,5.24,,,,,,,,,,,
>5,50,000 and <=9,50,000,496,103,35,109.59,7.08,,,,,,,,,,,
>9,50,000 and <=10,00,000,30,257,2,948.86,9.75,,,,,,,,,,,
>10,00,000 and <=15,00,000,173,913,21,17.36,12.08,,,,,,,,,,,
>15,00,000 and <=20,00,000,71,795,12,341.42,17.19,,,,,,,,,,,
>20,00,000 and <=25,00,000,36,952,8,228.9,22.27,,,,,,,,,,,
>25,00,000 and <=50,00,000,60,838,20,740.25,34.09,,,,,,,,,,,
>50,00,000 and <=1,00,00,000,23,578,16,117.48,68.36,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,15,459,30,649.69,198.26,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,1,939,13,555.3,699.09,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,1,210,18,561.75,1,534.03,,,,,,,,
>25,00,00,000 and <=50,00,00,000,443,15,613.86,3,524.57,,,,,,,,,
>50,00,00,000 and <=100,00,00,000,209,14,452.83,6,915.23,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,183,33,333.46,18,215.01,,,,,,,,,
>500,00,00,000,21,18,955.78,90,265.62,,,,,,,,,,,,
Total,79,712,145,380,759.99,,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Total Loss Set Off (in Crore INR),Average Total Loss Set off (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,75,888,108,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,2,233,835,12,532.22,0.56,,,,,,,,,,,,
>150,000 and <=2,00,000,1,139,536,21,832.49,1.92,,,,,,,,,,,
>2,00,000 and <=2,50,000,87,990,1,926.19,2.19,,,,,,,,,,,
>2,50,000 and <=3,50,000,75,708,2,233.19,2.95,,,,,,,,,,,
>3,50,000 and <=4,00,000,25,185,941.98,3.74,,,,,,,,,,,,
>4,00,000 and <=4,50,000,21,253,901.68,4.24,,,,,,,,,,,,
>4,50,000 and <=5,00,000,17,974,853.02,4.75,,,,,,,,,,,,
>5,00,000 and <=5,50,000,14,934,782.86,5.24,,,,,,,,,,,,
>5,50,000 and <=9,50,000,70,279,5,56.7,7.2,,,,,,,,,,,
>9,50,000 and <=10,00,000,5,357,522.24,9.75,,,,,,,,,,,,
>10,00,000 and <=15,00,000,35,968,4,396.42,12.22,,,,,,,,,,,
>15,00,000 and <=20,00,000,20,042,3,467.27,17.3,,,,,,,,,,,
>20,00,000 and <=25,00,000,12,158,2,715.06,22.33,,,,,,,,,,,
>25,00,000 and <=50,00,000,27,217,9,524.21,34.99,,,,,,,,,,,
>50,00,000 and <=1,00,00,000,15,520,10,820.08,69.72,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,15,021,31,814.1,211.8,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,2,613,18,333.59,701.63,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,1,839,28,596.91,1,555.03,,,,,,,,
>25,00,00,000 and <=50,00,00,000,729,25,292.76,3,469.51,,,,,,,,,
>50,00,00,000 and <=100,00,00,000,391,27,30.02,6,913.05,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,389,80,677.55,20,739.73,,,,,,,,,
>500,00,00,000,99,179,270.12,181,80.93,,,,,,,,,,,,
Total,79,712,145,469,520.66,,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Tax Payable (in Crore INR),Average Tax Payable (in Lakh INR),,,,,,,,,,,,,,,,,
< 0,-,-,-,,,,,,,,,,,,,,,,,
0,49,137,238,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,22,218,451,95,493.52,0.43,,,,,,,,,,,,
>150,000 and <=2,00,000,1,562,590,27,116.36,1.74,,,,,,,,,,,
>2,00,000 and <=2,50,000,1,094,658,24,486.44,2.24,,,,,,,,,,
>2,50,000 and <=3,50,000,1,468,066,43,429.9,2.96,,,,,,,,,,
>3,50,000 and <=4,00,000,512,248,19,164.76,3.74,,,,,,,,,,,
>4,00,000 and <=4,50,000,414,072,17,563.86,4.24,,,,,,,,,,,
>4,50,000 and <=5,00,000,343,397,16,288.67,4.74,,,,,,,,,,,
>5,00,000 and <=5,50,000,289,058,15,154.9,5.24,,,,,,,,,,,
>5,50,000 and <=9,50,000,1,283,027,91,846.07,7.16,,,,,,,,,,
>9,50,000 and <=10,00,000,89,588,8,730.56,9.75,,,,,,,,,,,
>10,00,000 and <=15,00,000,493,186,58,712.77,11.9,,,,,,,,,,,
>15,00,000 and <=20,00,000,223,143,38,939.38,17.45,,,,,,,,,,,
>20,00,000 and <=25,00,000,143,092,31,911.67,22.3,,,,,,,,,,,
>25,00,000 and <=50,00,000,246,249,84,237.89,34.21,,,,,,,,,,,
>50,00,000 and <=1,00,00,000,103,020,70,206.95,68.15,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,72,595,142,594.22,196.42,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,8,855,61,559.81,695.2,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,5,667,86,795.02,1,531.59,,,,,,,,
>25,00,00,000 and <=50,00,00,000,1,990,69,600.13,3,497.49,,,,,,,,
>50,00,00,000 and <=100,00,00,000,972,67,780.51,6,973.3,,,,,,,,,
>100,00,00,000 and <=500,00,00,000,830,168,361.37,20,284.5,,,,,,,,,
>500,00,00,000,153,295,176.33,192,925.71,,,,,,,,,,,,
Total,79,712,145,1,535,151.09,,,,,,,,,,,,,,
Range (in INR),No. of Returns,Sum of Returned Income (in Crore INR),Average Returned Income (in Lakh INR),,,,,,,,,,,,,,,,,
<0,-,-,-,,,,,,,,,,,,,,,,,
0,1,826,286,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,4,356,965,30,164.38,0.69,,,,,,,,,,,,
>150,000 and <=2,00,000,1,748,668,30,831.14,1.76,,,,,,,,,,,
>2,00,000 and <=2,50,000,3,497,320,81,113.13,2.32,,,,,,,,,,
>2,50,000 and <=3,50,000,7,163,769,217,834.94,3.04,,,,,,,,,,
>3,50,000 and <=4,00,000,5,216,572,196,41.49,3.76,,,,,,,,,,
>4,00,000 and <=4,50,000,8,157,742,347,821.7,4.26,,,,,,,,,,
>4,50,000 and <=5,00,000,24,275,513,1,174,734.43,4.84,,,,,,,,,
>5,00,000 and <=5,50,000,2,485,697,130,232.92,5.24,,,,,,,,,,
>5,50,000 and <=9,50,000,10,305,687,737,9.37,7.15,,,,,,,,,,
>9,50,000 and <=10,00,000,795,872,77,606.61,9.75,,,,,,,,,,,
>10,00,000 and <=15,00,000,4,304,111,521,219.19,12.11,,,,,,,,,,
>15,00,000 and <=20,00,000,1,972,819,339,210.33,17.19,,,,,,,,,,
>20,00,000 and <=25,00,000,1,026,375,228,547.67,22.27,,,,,,,,,,
>25,00,000 and <=50,00,00,000,1,716,036,587,427.62,34.23,,,,,,,,,
>50,00,000 and <=1,00,00,000,527,580,364,281.56,69.05,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,278,537,532,840.74,191.3,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,25,675,178,438.51,694.99,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,16,612,256,484.8,1,543.97,,,,,,,,
>25,00,00,000 and <=50,00,00,000,6,393,223,567.44,3,497.07,,,,,,,,
>50,00,00,000 and <=100,00,00,000,3,606,251,545.05,6,975.74,,,,,,,,
>100,00,00,000 and <=500,00,00,000,3,402,698,699.7,20,537.91,,,,,,,,
>500,00,00,000,908,2,071,81.73,228,92.7,,,,,,,,,,,
Total,79,712,145,9,276,734.45,,,,,,,,,,,,,,
